Científicas;Año nacimiento;Fecha;Bio;Especialidad;Cartel;Año;Otros carteles;Instagram;Pais;Wikipedia 
Chana Malogolowkin-Cohen (13 de septiembre de 1924 - 20 de marzo de 2022);1924;20-mar;La genetista Chana Malogolowkin-Cohen (1924-2022) nació un 13 de septiembre. Chana Malogolowkin-Cohen (Osowa, Polonia, 13 de septiembre de 1924 - Tel Aviv, 20 de marzo de 2022)Fue una pionera en la genética de la mosca de la fruta en Brasil: las Drosophila se utilizan como animales de laboratorio en la investigación genética.Su investigación ayudó en los avances para infectar a los mosquitos aedes aegipti con una bacteria que le impide transmitir los virus del dengue, zika, chikunguña y fiebre amarilla.;genetista;no;-;-;-;Polonia;-
Elena Pinilla Cienfuegos (11 de mayo de 1978);1978;20-mar;"""Un 11 de mayo nació la física especializada en nanotecnología molecular ELENA PINILLA CIENFUEGOS (1978) investigadora del Centro de Tecnología Nanofotónica (NTC) de la Universidad Politécnica de Valencia (UPV).Nació en Badajoz, España. Se licenció en Física por la Universidad Complutense de Madrid (UCM, 2004). Hizo un máster en Nanotecnología Molecular (2009) y se doctoró en Nanociencia y Nanotecnología el 6 de febrero de 2014, en el Instituto de Ciencia Molecular (ICMol) de la Universidad de Valencia (UV). Antes de iniciar su carrera de investigadora trabajó en la empresa Nanotec Electrónica. El 20 de marzo de 2013 patentó junto a Eugenio Coronado y Efrén Navarro un sistema de exfoliación micromecánica por vía seca de materiales laminares bidimensionales galardonado con el primer premio Valencia IDEA en la categoría de energía y medioambiente. El 14 de diciembre de 2019 fue galardonada con el premio Muy Jóvenes Científicasen la categoría de nanotecnología. Investiga cómo integrar nuevos nanomateriales (Grafeno y análogos, y materiales moleculares) en dispositivos nanofotónicos para hacerlos más pequeños, pero más robustos y eficientes, como láseres y nanoantenas con aplicaciones en telecomunicaciones o medicina, y en fenómenos relacionados con la interacción espín-órbita y quiralidad de la luz en sistemas nanofotónicos integrados en Silicio.Como divulgadora forma parte del Grupo Especializado de Mujeres en Física, de la Asociación de Mujeres Investigadoras y Tecnólogas (AMIT), del área de Mujer, Óptica y Fotónica de la Sociedad Española de Óptica y colabora en Girls4STEM.Escribe la sección ‘Hemos leído que...’ en la Revista Española de Física de la Real Sociedad Española de Física (RSEF) y ha participado en eventos de divulgación como TEDx sobre Nanofotónica, Pint of Science, el festival OGMIOS, #MujeresDivulgadoras: ciencia con voz de mujer, podcasts y programas de radio. Es Vicepresidenta de la RSEF y de la División de Enseñanza y Divulgación de la Física (DEDF-RSEF), es Vocal de la División de Física de la Materia Condensada (GEFES-RSEF) y Subdirectora de la Revista Española de Física.Cartel hecho por @pilar_terron#ElenaPinillaCienfuegos#Física#DivulgaciónCientífica#nanotecnología#MujeresEnCiencia#NoMoreMatildas#mujeresconciencia#concieMcia#taldíacomohoy""";Física, Nanotecnóloga;si;cumpleaños en 2022;Cartel el 11 de mayo;epcienfuegos;España;-
Elizabeth Rona (20 de Marzo de 1890 – 27 de Julio de 1981);1890;20-mar;"Un 20 de marzo nació la física nuclear pionera en separación de isótopos y preparación de polonio, Elizabeth Rona (1890-1981). Nació en Budapest, Hungría. Quería ser médico como su padre, quien lo veía difícil para una mujer. La animó a estudiar química, geoquímica y física y se doctoró (Univ. Budapest, 1912). Trabajó con el descubridor de los isótopos (Kasimir Fajans) en el Instituto Tecnológico Karlsruhe. El químico De Hevesy, la contrató en el Instituto Químico de Budapest, para estudiar y verificar el Uranio-Y (hoy Th-231). Consiguió separarlo y publicar los resultados con la primera mención al “marcado de isótopos” y ""trazadores"" (usado en medicina para diagnósticos). Vio que la velocidad de difusión dependía de la masa de los nucleidos. El recibió el Nobel de Química en1943 por ello, Investigó el Ionio con Otto Hahn y Lise Meitner en el Kaiser-Wilhem de Berlín (1921), encontrando que era un isótopo natural del Torio. En el Instituto del Radio de Viena, a la búsqueda de un sustituto del escaso y caro Radio, descubrió que podía usarse polonio. Trabajó con Irène Joliot-Curie en Paris en la generación de polonio concentrado. Huyó de los nazis a Estados Unidos y consiguió una beca Carnegie. Investigó la radiactividad del agua del mar y descubrió que los niveles de polonio eran similares a cualquier nivel del agua, pero el torio se hunde. Como el uranio con el tiempo se degrada en torio, podía usarse para medir la edad de un arrecife de coral o la antigüedad de los sedimentos (cronogeografía). Entregó sus métodos para elaborar polonio concentrado al gobierno: para la bomba atómica y para ver los efectos de la radiación en humanos (nadie creía que fueran perjudiciales, pero ella sí y usaba una máscara antigás que se compró). Fue profesora en el Trinity College, en el Instituto Oak Ridge de Estudios Nucleares y en la Universidad de Miami. Recibió el Premio Haitinger de la Academia Austríaca de Ciencias (1933). Fue incluida en el Salón de la Fama de la Mujer de Tennessee (2015). Cartel hecho por @pilar_terron #ElizabethRona #Nuclear #Física #MujeresEnCiencia #womeninsteam #NoMoreMatildas #mujeresconciencia #concieMcia #taldíacomohoy";Física nuclear;si;Muerte en 2021;Cartel el 27 de julio;-;Hungría;-
Evelyn Fox Keller (20 de marzo 1936);1936;20-mar;Un 20 de marzo nació la física y escritora Evelyn Fox Keller (1936) cuyos trabajos se concentran en la intersección de la historia, la física, la biología y el género. Actualmente profesora emérita de Historia y Filosofía de la Ciencia en el Instituto Tecnológico de Massachusetts (MIT). Nació en Nueva York, EEUU y se licenció en Física en la Universidad de Brandeis (1957). Continuó sus estudios en Física Teórica en la Universidad de Harvard donde obtuvo su doctorado en 1963, año en que, en una visita al Cold Spring Harbor Laboratory, se empezó a interesar por la biología molecular y en estudios de ciencia, tecnología y género. Centra sus estudios en dos áreas de la biología evolutiva: la genética de poblaciones y la ecología matemática. Pretende demostrar desde un punto de vista científico cómo el proceso de selección que tiene lugar en el contexto mismo de la ciencia limita lo que llegamos a conocer. Su preocupación es mostrar cómo el proceso de selección que ocurre en el contexto del descubrimiento limita lo que llegamos a conocer. Sostiene que la suposición de que el individuo atomístico es la unidad fundamental en la naturaleza ha llevado a los genetistas de poblaciones a omitir la reproducción sexual de sus modelos. Según Keller, los genetistas tratan la reproducción como si los individuos se reprodujeran a sí mismos, eludiendo de manera efectiva las complejidades de la diferencia sexual, las contingencias del apareamiento y la fertilización. Argumenta que los biólogos usan valores atribuidos a la esfera pública de la cultura occidental para describir las relaciones entre individuos (mientras que los valores generalmente atribuidos a la esfera privada para describir relaciones se confunden con el interior de un organismo individual). Escribió la biografía de la premio Nobel Barbara McClintock, explicando su trabajo en genética y trazando su larga y poco conocida carrera como investigadora científica en el libro “Seducida por lo vivo. Vida y obra de Barbara McClintock” Cartel hecho por @pilar_terron #EvelynFoxKeller #Física #biología #GéneroYCiencia #MujeresEnCiencia #womeninsteam #NoMoreMatildas #mujeresconciencia #concieMcia #taldíacomohoy;Física;si;2021;-;-;EEUU;-
Hazel Katherine Stiebeling (20 marzo 1896–18 mayo 1989);1896;20-mar;"Un 20 de marzo nació la nutricionista pionera en el desarrollo de programas de nutrición, HAZEL KATHERINE STIEBELING (1896–1989), que incluyó las asignaciones dietéticas diarias de vitaminas y minerales. Nació en una granja de Haskins, Ohio (EEUU). Estudió ciencias domésticas en Skidmore College. Se dice que allí descubrió el libro del Dr. Henry Sherman, ""La química de los alimentos y la nutrición"" que le inspiró. Tras graduarse, trabajó 3 años como maestra y luego ingresó en la Universidad de Columbia como asistente de la profesora Mary Swartz Rose en ‘Alimentos y Nutrición’. Se licenció en Ciencias de la alimentación y biología (1919) e hizo una maestría en nutrición (1924). Empezó su doctorado con Henry Sherman investigando en el metabolismo basal de las mujeres, la influencia de la vitamina D en la deposición de calcio en los huesos, el valor nutricional de las proteínas en sujetos humanos y el desarrollo de un método para estudiar el contenido de vitaminas A y D en los tejidos. Se doctoró en química en 1928. En 1930 fue contratada en la nueva Sección de Economía Alimentaria de la Oficina de Economía Doméstica del departamento de Agricultura de los Estados Unidos (USDA) donde fue directora. Allí, realizó una extensa investigación sobre el valor nutricional de las dietas estadounidenses. Fue pionera en aplicar métodos de encuestas por muestreo a problemas nacionales de nutrición para llegar al conocimiento de los hábitos alimentarios de los grupos de población y otros factores. Desarrolló una publicación del USDA sobre planificación de la dieta en 1933 que incluía el término ""asignaciones dietéticas"" por 1ª vez, y que fue el 1er estándar dietético nacional cuantitativo para los minerales calcio, fósforo, hierro y vitaminas A y C. Trabajó con Esther Phipard para incluir las asignaciones dietéticas de tiamina y riboflavina en el USDA. Sus técnicas han sido el estándar para desarrollar planes dietéticos de organizaciones internacionales como la FAO y la OMS. Cartel hecho por @pilar_terron #HazelStiebeling #nutricionista #química #MujeresEnCiencia #womeninsteam #NoMoreMatildas #mujeresconciencia #concieMcia #taldíacomohoy";nutricionista;si;Muerte en 2022;Cartel el 18 de mayo;-;EEUU;-
Laura Bassi (29 de noviembre de 1711- 20 de febrero de 1778);1711;20-mar;Un 27 de junio de 1732 la física, poeta y filósofa LAURA BASSI (1711-1778) se convirtió en la 1ª mujer en obtener un puesto de profesora de física en una universidad, en la de Bolonia (Italia). También fue la 1ª en obtener un doctorado en ciencias (obtuvo otro en filosofía). Nació en Bolonia, Italia, niña prodigio a quien su padre motivo para que se formara. Un 20 de marzo de 1732, con apenas 21 años, fue la 1ª mujer en ingresar en la Academia de Ciencias de Bolonia. El 17 de abril participó en un debate público sobre filosofía enfrentándose a 5 notables académicos de Bolonia. Creó tal expectación que tuvo que celebrarse en el Palacio de los Senadores de Bolonia e impresionó al público asistente. El 17 de mayo la Universidad de Bolonia le concedió un doctorado honorario, debido a sus evidentes capacidades intelectuales. De nuevo el evento levantó gran interés y, en un acto público que tuvo lugar en el pabellón de Hércules del Palacio Comunal, Bassi recibió una corona de laurel de plata y dio un discurso de aceptación en latín. En 1738 se casó con Giovanni Giuseppe Veratti, médico y también profesor de la universidad con quien tuvo 5 hijos. No se le permitió impartir clases en la universidad por lo que daba conferencias en escenarios específicos en los que también acudían excepcionalmente mujeres. Fue una de las primeras defensoras de la física newtoniana. El Senado de Bolonia honró a Laura Bassi con una medalla conmemorativa en la que aparecía su cara en un lado y una representación de Minerva, la diosa de la sabiduría, en el otro. En 1760, comenzó a realizar experimentos con Veratti sobre posibles aplicaciones medicinales de la electricidad y en 1776 fue nombrada para la cátedra de Física experimental en la Universidad de Bolonia. Dedicó toda su vida a la ciencia, a la poesía, la piedad y las causas solidarias y falleció el 20 de febrero de 1778. Cartel hecho por @pilar_terron #LauraBassi #Filosofía #Física #Bolonia #Pionera #MujeresEnCiencia #womeninsteam #girlsinscience #NoMoreMatildas #mujeresconciencia #concieMcia #taldíacomohoy;Física;si;Profe en 2022;Cartel el 27 de junio;-;Italia;-
Maud Menten (20 de marzo de 1879 - 26 de julio de 1960);1879;20-mar;Un 20 de marzo nació la médico que realizó importantes aportes en el área de la cinética enzimática Maud Leonora Menten (1879-1960). Nació en Port Lambton, Ontario (Canadá). Estudió en la Universidad de Toronto el grado en Artes (1904) y Máster en fisiología (1907) estando de ayudante de laboratorio en la universidad. Entonces se fue al Instituto Rockefeller de Nueva York. Trabajó en la distribución de los iones cloruro en el sistema nervioso central, en tumores experimentales y su tratamiento con bromuro de radio. Escribió con James Jobling y Simon Flexner la 1ª monografía de dicho instituto (1910). Volvió a Canadá y obtuvo el título de médica en 1911. Se fue a Cleveland con George Crile a trabajar en el equilibrio ácido-base durante la anestesia y de allí, en 1912, a la Universidad de Berlín junto a Leonor Michaelis. Derivaron el modelo matemático de la cinética enzimática (la velocidad a las que las reacciones químicas son catalizadas) que incluye la constante de Michaelis-Menten, su mayor aportación. Con la I Guerra Mundial en puertas, se fue a la Universidad de Chicago, donde se doctoró en bioquímica en 1916. Consiguió un puesto de Jefa de Patología del Hospital de Niños y de profesora ayudante en la facultad de medicina de la Universidad de Pittsburgh en 1923, no siendo promovida a profesora hasta 1949, con 69 años. Estudió el mecanismo hiperglucemiante de toxinas bacterianas y el descubrimiento de un mecanismo de acoplamiento en química orgánica y la electroforesis de las hemoglobinas humanas (fue la 1ª). Se retiró en 1950 y volvió a Canadá. Investigó en oncología en el Instituto de Investigaciones Médicas British Columbia, pero con una artritis cada vez más fuerte y dolorosa. Se retiró definitivamente en 1954, cuando la enzimología cobró impulso y la cinética enzimática abrió el camino farmacológico para diseñar fármacos que actuarían como inhibidores enzimáticos, 40 años después de su emblemática publicación. Falleció con 81 años, en Leamington, Ontario, Canadá. Todoterreno incansable, tocaba el clarinete, pintaba cuadros, amaba el trekking, disfrutaba de la astronomía y hablaba 6 idiomas. Cartel hecho por @pilar_terron #MaudMenten #bioquímica #Medicina #cinéticaenzimática #MujeresEnCiencia #NoMoreMatildas #mujeresconciencia #concieMcia #taldíacomohoy;Médica, Enzimóloga;Si;2022;-;-;Canadá;-
Quarraisha Abdool Karim (1960);1960;20-mar;La epidemióloga sudafricana Quarraisha Abdool Karim (1960) nació un 20 de marzo.Sus investigaciones tratan fundamentalmente sobre la prevención y el tratamiento del virus de la inmunodeficiencia humana (VIH) en las mujeres, sobre todo jóvenes y adolescentes.Mostró la eficacia de un gel tópico anti-VIH (el tenofovir gel CAPRISA 004 trial) que permite reducir de manera significativa (hasta un 39 %) las infecciones por el virus, proporcionando a las mujeres un control directo y efectivo sobre su salud.;Epidemióloga;no;-;-;-;Sudáfrica;-
Silvia de Marchi (25 de febrero de 1897 - 20 de marzo de 1936);1897;20-mar;"Silvia De Marchi (1897-1936) nació el 25 de febrero Fue la primera mujer en obtener un título en psicología experimental en Italia. En psicología experimental, aplicó el método de estimación de magnitudes –unos años antes que Lewis Richardson– para analizar la percepción visual de colectividades de puntos.En psicología aplicada, proporcionó base científica a la psicología del testimonio, utilizando la relación inspiración-espiración determinada por un neumógrafo -uno de los primeros detectores de mentiras- inventado por Vittorio Benussi en 1914. silvia de marchi (Pavía, 25 de febrero de 1897 - Padua, 20 de marzo de 1936)hija de Luigi De Marchi (profesor de geografía en las Universidades de Pavía y Padua y hermano del escritor Emilio), tras pasar su infancia en Pavía se trasladó con su familia a Padua, donde estudió en el gimnasio ""Tito Livio"", posteriormente matriculándose en la carrera de Licenciatura en Letras en la Universidad de Padua, a la que asistió durante tres años.A pesar de su mala salud, en 1919, fascinada por los cursos de psicología impartidos en la Universidad de Padua por Vittorio Benussi, decidió cambiarse a la carrera de Filosofía. Así pasó a formar parte del séquito de Benussi, reunido en torno al laboratorio universitario de psicología, donde pudo entablar duraderas relaciones de amistad y colaboración, en particular, con su alumno predilecto, Cesare Musatti, con el humanista siciliano Concetto Marchesi y con el paduano escritor Novello Papafava.Primera mujer en Italia en graduarse en psicología experimental, defendió una tesis sobre la psicología del testimonio (""Contribuciones a la psicología judicial"") y en 1923, en el IV Congreso de la Sociedad Italiana de Psicología celebrado en Florencia, Benussi leyó un informe preliminar. de los resultados de su investigación sobre La evaluación de la comunidad, que luego se publicaría en las actas del congreso (De Marchi, 1925). A la muerte de Benussi en 1927 heredó su legado junto con Musatti, con quien había realizado análisis didácticos. En particular, supervisó la publicación de las conferencias sobre psicoanálisis de Benussi, que vieron la luz, con el título de Sugerencia y psicoanálisis, en 1932. En 1929, en el VII Congreso de psicología experimental y psicotecnia celebrado en Turín, presentó los resultados aplicados de la investigación realizada con Benussi sobre la psicología del testimonio, con una ponencia titulada ""Percepción de forma e impresión de cantidad: ante un caso particular de la figura de Müller-Lyer”. En el mismo año, se publicó en el Archivo Psicológico Italiano un relato completo de las experiencias que había tratado sintéticamente en Florencia seis años antes, basado en gran parte en el uso del taquistoscopio: Las evaluaciones numéricas de la comunidad (De Marchi, 1929) . Con este trabajo, Silvia De Marchi anticipó el descubrimiento del método de estimación de cantidades, generalmente atribuido al físico británico Lewis Richardson (1929). En 1932 se casó con Cesare Musatti (viudo desde 1930 de su primera esposa Albina Pozzato), con quien en 1933 tuvo un hijo, Riccardo. Volvió a quedar embarazada en 1935, perdió al niño a causa de un ataque febril y, agotada física y psíquicamente, murió unos meses después tras ser operada de una mastoiditis.";Psicóloga, Neurociencia;no;-;-;-;Italia;-
Ainhoa Murua Ugarte (12 de mayo de 1979 - 21 de marzo de 2012);1979;21-mar;La bioquímica Ainhoa Murua Ugarte (1979-2012) nació un 12 de mayo.Licenciada en Biología y en Bioquímica por la Universidad de Navarra, hizo un doctorado europeo por la UPV/EHU en Farmacia y Tecnología Farmacéutica.Participó durante ocho años en el grupo de investigación NanoBioCel de la Facultad de Farmacia de la UPV/EHU, dentro del cual, desarrolló un importante trabajo sobre la microencapsulación de medicamentos, una tecnología especialmente beneficiosa para enfermedades como el Alzheimer o el Parkinson. Ainhoa Murua fue una científica que estudió las capacidades extraordinarias de las dimensiones pequeñas. Investigó las posibilidades terapéuticas que ofrecían las células microencapsuladas contra las enfermedades crónicas. Su trabajo demostró que gracias a los transplantes de células microencapsuladas en el futuro contaremos con tratamientos más eficaces contra enfermedades crónicas como el Alzheimer y el Parkinson. Ainhoa, concretamente, centró su investigación en la microencapsulación de células con fines terapéuticos y, de ese modo, completó su tesis internacional Cell microencapsulation for therapeutic purposes: towards greater control over biocompatibility en 2010. En dicho trabajo presentó propuestas para optimizar la técnica de transplante de células microencapsuladas. Por ejemplo, trató las posibilidades de transplantar a seres humanos células de otras especies (posibilidades de realizar xenotransplantes) y las ventajas que ello supondría. Dichas mejoras contribuirían a resolver la escasez habitual de tejidos humanos para transplantes. Asimismo, logró hacer frente al rechazo inmunológico que suelen provocar los xenotransplantes sin necesidad de hacer uso de tratamientos crónicos. En consecuencia, mejoró la funcionalidad de los xenotransplantes. En 2011 le diagnosticaron cáncer y en 2012 falleció tras una trayectoria corta pero fructífera. En 2010 la Asociación Española de Derecho Farmacéutico (ASEDEF) concedió el IX Premio ASEDEF al grupo de investigación de Ainhoa, en la categoría de “Innovación”, en octubre de 2011 recibió en Oporto el IX Premio SPLC-CRS a la mejor tesis doctoral y en abril de 2014 recibió el Premio Extraordinario de Doctorado de la UPV/EHU. Publicó 14 artículos y en 2009 uno de ellos fue portada de la revista Journal of Controlled Release: el titulado “Xenogeneic transplantation of erythropoietin-secreting cells immobilized in microcapsules using transient immunosuppression”. Ainhoa era una joven mujer e investigadora que poseía una característica muy especial: la capacidad de vivir y disfrutar la ciencia.;Bioquímica;no;-;-;-;España;-
Antonia Maury (21 de marzo de 1866 - 8 de enero de 1952);1866;21-mar;Un 21 de marzo nació la astrónoma ANTONIA MAURY (1866 – 1952). Antonia Caetana de Paiva Pereira Maury nació en Nueva York, EEUU, en una familia de intelectuales. Su abuelo, John William Draper, era el historiador y químico que tomó la primera fotografía de la Luna en 1840, y su tío, el astrónomo Henry Draper, con quien pasaba largas horas. Se graduó en el Vassar College (1887) bajo la tutela de Maria Mitchell. Eentró a trabajar como una de la múltiples mujeres en el Harvard College Observatory contratadas por un salario tres veces inferior al de un hombre. Se encargó de catalogar los espectros estelares del hemisferio norte. Su director, Pickering, le pidió que clasificara las estrellas teniendo en cuenta el sistema alfabético de clasificación donde las estrellas se agrupaban en 7 categorías alfabéticas, desarrollado por su compañera Annie Jump Cannon. Ella observó que había varios niveles de distinción espectral que el anterior esquema no contemplaba e ideó un nuevo plan: veintidós grupos en una secuencia descendente de temperatura con un esquema que también clasificaba los espectros por la anchura y la nitidez de las líneas, la base de la astrofísica moderna. Se enfrentó a Pickering y abandonó su trabajo allí en 1896 para dedicarse a la enseñanza en la escuela Miss Masson y gestionando el Draper Park Museum. Publicó sus resultados y conclusiones usados por el astrónomo Ejnar Hertzsprung para llevar a cabo del Diagrama de Hertzsprung-Russell de evolución estelar, dado que daba la posibilidad de distinguir las estrellas supergigantes de las normales o enanas. En 1918, volvió a Harvard donde continuó hasta su jubilación. En ese periodo de tiempo, concretamente en 1933, descubrió la segunda estrella binaria conocida Beta Aurigae y determinó el periodo de la estrella Mizar. En 1922, la Unión Astronómica Internacional quiso reconocer su clasificación y en 1943, su sistema de clasificación de incorporó a la versión revisada del catálogo de Draper (sistema MK) y le otorgaron el premio Annie J. Cannon. Cartel hecho por @pilar_terron #AntoniaMaury #Astronomía #astrofísica #MujeresEnCiencia #womeninsteam #NoMoreMatildas #mujeresconciencia #concieMcia #taldíacomohoy;Astrónoma;si;2021;-;-;EEUU;-
Eeva Jalavisto (21 de marzo de 1934 – 12 de junio de 1966);1934;21-mar;Eeva Ottilia Jalavisto (21 de marzo de 1934 Elmgren, Kerimäki – 12 de junio de 1966) fue una profesora finlandesa de fisiología,[1] lo que tuvo un impacto significativo en el desarrollo de la atención finlandesa para las personas mayores.[2]Los padres de Jalavisto fueron el Dr. Robert Elmgren, PhD, e Inés Helena Meurman. Se graduó de la Escuela Mixta Finlandesa en Helsinki en 1927, se graduó con una licenciatura en medicina en 1937 y recibió su doctorado en el mismo año. Jalavisto trabajó en la Universidad de Helsinki primero como asistente y luego como docente.[3] Fue profesor extraordinario de fisiología en la universidad desde 1949 y presidente de la societas Gerontologica Fennica, una asociación para el estudio de los fenómenos de la vejez, desde 1952.[4] hasta su muerte en 1966.[5] Jalavisto fue presidenta de la Confederación de Protección de ancianos de 1949 a 1953 y presidenta de la Federación Finlandesa de Mujeres Académicas desde 1957.[4]Jalavisto escribió artículos sobre el envejecimiento en periódicos y revistas sobre los resultados de su investigación. Fue invitado a unirse a la Academia Finlandesa de Ciencias en 1957.[5] Jalavisto también fue miembro de varias otras asociaciones y organizaciones nacionales e internacionales en su campo.Jalavisto nombró a la eritropoyetina junto con Eva Bonsdorff.;Fisióloga;no;-;-;-;Finlandia;-
Encarnación Cabré Herreros (21 de marzo de 1911 – 18 de marzo de 2005);1911;21-mar;Encarnación Cabré Herreros (Madrid, 21 de marzo de 1911 – Madrid, 18 de marzo de 2005) Encarnación Cabré Herreros (Madrid, 21 de marzo de 1911-ibidem, 18 de marzo de 2005) es la primera mujer en España en realizar trabajo de campo arqueológico de envergadura, lo que le es posible gracias a su padre, Juan Cabré Aguiló, al que acompaña y con quien colabora en numerosas ocasiones. Estudia Filosofía y Letras en Madrid (1928-1932) y realiza los cursos de doctorado (1932-1933) en el año en el que participa como estudiante en el Crucero Universitario por el Mediterráneo de 1933. Será profesora ayudante en el Departamento de Arte (1933-1934) y profesora del Instituto Escuela. Realiza una estancia de investigación en Hamburgo y Berlín en 1934 con una beca de la Junta para la Ampliación de Estudios e Investigaciones Científicas, estudiando con algunos de los mejores prehistoriadores del momento, y en 1935 acompaña a su padre, también becado por el mismo organismo, a visitar los museos más importantes de Alemania. Vuelve a la docencia universitaria como profesora- encargada del Curso elemental de Historia del Arte Griego y Romano (1935-36) asociándose entre 1937 y 1939 al Centro de Estudios Históricos de la JAE en Madrid. Tras su matrimonio no vuelve a ejercer. Su investigación se centra en la Edad del Hierro céltica de la Meseta Norte.;Arqueóloga;no;-;-;-;España;-
Jane Trefusis Forbes, Lady Watson-Watt (21 de marzo de 1899-18 de junio de 1971);1899;21-mar;Lady Watson-Watt (21 March 1899 – 18 June 1971), known as Jane Trefusis Forbes, was a businesswoman and the first director of the Women's Auxiliary Air Force (1939–43). Jane Trefusis Forbes fue una de las mujeres más famosas en el Reino Unido durante la Segunda Guerra Mundial. Comandante de la Fuerza Aérea Auxilar Femenina (Women’s Auxiliary Air Force o WAAF), Forbes luchó toda su vida por la integración de la mujer en el Ejército Británico.Katherine Jane Trefusis Forbes nació un 21 de Marzo de 1899 en Chile, aunque de nacionalidad británica debido a que en aquellos momentos su padre se encontraba trabajando en Sudamérica. Al mando de más de 175.000 mujeres voluntarias en la WAAF durante la Segunda Guerra Mundial, Forbes trabajó de manera excelente como su comandante en jefe organizando las defensas antiaéreas en las Islas Británicas, realizando tareas administrativas, revisando los aviones de la Real Fuerza Aérea Británica (Royal Air Force o RAF), plegando paracaídas, izando globos cautivos, operando en los radares, preparando la comida de los soldados, curando heridos o transportando tropas y materiales. Uno de sus papeles decisivos fue en la Batalla de Inglaterra cuando Forbes junto a sus voluntarias femeninas ofrecieron un apoyo logístico muy importante a pilotos y aviones en los aeródromos y pistas improvisadas, jugándose la vida en muchas ocasiones ante los bombardeos contantes de la Fuerza Aérea Alemana (Luftwaffe). Terminada la Segunda Guerra Mundial en 1945, Forbes continuó trabajando en diversas asociaciones y movimientos a favor por el ingreso de las mujeres en las fuerzas armadas, algo que pudo permitirse gracias a que heredó el Observatorio de Pitlochry de su fallecido tío George Forbes. Curiosamente Jane permaneció soltera hasta 1966, cuando con 67 años de edad, se casó por vez primera con Robert Alexander Watson-Watt, uno de los inventores del radar y que había conocido a Forbes en la Segunda Guerra Mundial, con quién compartiría el resto de su vida.El 18 de Junio de 1971 Jane Trefusis Forbes falleció de un ataque al corazón a la edad de 72 años. Dos años después, en 1973, moriría su marido Watson-Watt, siendo los dos enterrados en el Cementerio de la Iglesia de Pitlochry.Con la muerte Jane Forbes, muchas mujeres inglesas seguirían su ejemplo y exigirían prestar el servicio militar. Sería finalmente el 1 de Abril de 1994, cuando el Ejército Británico equiparó los mismos derechos tanto para hombres como para mujeres en sus fuerzas armadas.;aviadora;si;2022;-;-;Inglaterra;-
Louise de Merode (21 de marzo 1972);1972;21-mar;Un 21 de marzo nació la paleontóloga y antropóloga LOUISE DE MERODE (1972) que con tan solo 6 años participó en los descubrimientos de un fósil hominoide y hoy investiga sobre fósiles humanos en África oriental, en particular el período entre hace 2 millones de años y 1,5 millones de años.Louise Leakey nació en Nairobi (Kenia). Es hija de los paleontólogos Meave y Richard Leakey (hijo de Mary Leakey y Louis Leakey). Hizo el bachillerato internacional en United World College of the Atlantic. Se licenció en geología y biología en la Universidad de Bristol y se doctoró en el University College de Londres (Inglaterra).En 1993, Louise se unió a su madre Meave como codirectora de expediciones paleontológicas en el norte de Kenia. El 19 de marzo de 2001 desenterraron el cráneo de Kenyanthropus platyops. Su proyecto de investigación Koobi Fora, a orillas del lago Turkana, a través de un riguroso proceso de búsqueda, excavación, análisis paleoecológico y geológico, y un poco de intuición paleoantropológica, Louise, junto con Meave, ha identificado con precisión regiones dentro del área de 1200 kilómetros cuadrados de East Turkana.Es profesora de investigación en el Departamento de Antropología de la Universidad de Stony Brook en Nueva York y también es directora del Turkana Basin Institute, centro para la investigación de los orígenes humanos que también ejecuta programas de campo para estudiantes de dos estaciones de investigación en el norte de Kenia.Además ha impulsado una iniciativa para colocar modelos digitales de colecciones de fósiles en un laboratorio virtual, African Fossils, donde los modelos se pueden descargar, imprimir en 3D o cortar en cartón para volver a montar.Forma parte del consejo asesor internacional del Turkana Basin Institute, del Center for Communicating Science, del Wild Nature y del Sea Shepherd (EEUU). Participa en National Geographic.En 2008 participó en un TED para contar su trabajo.En 2003 se casó con el príncipe Emmanuel de Merode con quien tiene 2 hijas.Cartel hecho por @pilar_terron#LouiseDeMerode#paleontología#antropología#fósiles#MujeresEnCiencia#GirlsInScience#NiñasEnCiencia#NoMoreMatildas#mujeresconciencia#concieMcia#taldíacomohoy;Paleoantropóloga;si;2023;-;-;Kenia;-
